iter	Passed	Remaining
686	18827	8578
687	18855	8550
688	18881	8522
689	18907	8494
690	18936	8467
691	18965	8441
692	18994	8414
693	19018	8385
694	19046	8358
695	19075	8331
696	19104	8305
697	19133	8278
698	19157	8249
699	19185	8222
700	19212	8194
701	19237	8166
702	19264	8138
703	19290	8110
704	19317	8083
705	19344	8055
706	19371	8027
707	19398	8000
708	19426	7973
709	19449	7944
710	19475	7916
711	19502	7888
712	19526	7859
713	19552	7832
714	19579	7804
715	19605	7776
716	19635	7750
717	19660	7721
718	19687	7694
719	19715	7666
720	19739	7638
721	19768	7611
722	19794	7583
723	19818	7555
724	19847	7528
725	19872	7500
726	19901	7473
727	19930	7446
728	19956	7418
729	19984	7391
730	20012	7364
731	20037	7336
732	20080	7314
733	20106	7286
734	20134	7259
735	20161	7231
736	20189	7204
737	20217	7177
738	20244	7150
739	20271	7122
740	20300	7095
741	20323	7066
742	20351	7039
743	20378	7012
744	20405	6984
745	20432	6957
746	20459	6929
747	20487	6902
748	20513	6874
749	20535	6845
750	20561	6817
751	20586	6789
752	20612	6761
753	20636	6732
754	20665	6705
755	20689	6677
756	20715	6649
757	20741	6622
758	20768	6594
759	20796	6567
760	20823	6539
761	20849	6512
762	20878	6485
763	20903	6457
764	20929	6429
765	20956	6401
766	20987	6375
767	21010	6346
768	21038	6319
769	21065	6292
770	21091	6264
771	21116	6236
772	21142	6208
773	21165	6179
774	21192	6152
775	21218	6125
776	21245	6097
777	21272	6070
778	21300	6043
779	21328	6015
780	21356	5988
781	21382	5960
782	21407	5932
783	21430	5904
784	21461	5877
785	21484	5849
786	21512	5822
787	21539	5794
788	21564	5766
789	21595	5740
790	21623	5713
791	21650	5685
792	21673	5657
793	21701	5630
794	21729	5603
795	21758	5576
796	21786	5549
797	21813	5521
798	21841	5494
799	21871	5467
800	21894	5439
801	21920	5411
802	21946	5384
803	21976	5357
804	22004	5330
805	22032	5303
806	22060	5275
807	22091	5249
808	22109	5220
809	22130	5191
810	22155	5163
811	22182	5135
812	22210	5108
813	22238	5081
814	22264	5053
815	22292	5026
816	22320	4999
817	22343	4971
818	22370	4943
819	22396	4916
820	22423	4889
821	22452	4861
822	22477	4834
823	22505	4807
824	22533	4779
825	22556	4751
826	22584	4724
827	22611	4697
828	22639	4669
829	22666	4642
830	22690	4614
831	22717	4587
832	22744	4559
833	22772	4532
834	22799	4505
835	22826	4477
836	22851	4450
837	22878	4422
838	22906	4395
839	22934	4368
840	22966	4341
841	23023	4320
842	23055	4293
843	23084	4266
844	23116	4240
845	23149	4214
846	23180	4187
847	23211	4160
848	23242	4133
849	23296	4111
850	23320	4083
851	23349	4055
852	23380	4029
853	23408	4001
854	23436	3974
855	23463	3947
856	23491	3919
857	23519	3892
858	23540	3864
859	23567	3836
860	23591	3808
861	23616	3780
862	23640	3752
863	23669	3725
864	23694	3697
865	23723	3670
866	23751	3643
867	23777	3615
868	23806	3588
869	23835	3561
870	23863	3534
871	23893	3507
872	23921	3479
873	23951	3452
874	23979	3425
875	24007	3398
876	24036	3371
877	24063	3343
878	24091	3316
879	24118	3288
880	24144	3261
881	24171	3233
882	24195	3205
883	24222	3178
884	24250	3151
885	24279	3123
886	24305	3096
887	24331	3068
888	24356	3041
889	24385	3013
890	24411	2986
891	24439	2959
892	24466	2931
893	24497	2904
894	24527	2877
895	24550	2849
896	24579	2822
897	24606	2794
898	24634	2767
899	24663	2740
900	24692	2713
901	24720	2685
902	24748	2658
903	24776	2631
904	24807	2604
905	24834	2576
906	24861	2549
907	24891	2522
908	24917	2494
909	24944	2467
910	24969	2439
911	24994	2411
912	25022	2384
913	25046	2356
914	25074	2329
915	25099	2301
916	25127	2274
917	25153	2246
918	25180	2219
919	25207	2191
920	25233	2164
921	25260	2137
922	25284	2109
923	25312	2081
924	25340	2054
925	25369	2027
926	25397	1999
927	25424	1972
928	25452	1945
929	25481	1917
930	25506	1890
931	25532	1862
932	25557	1835
933	25584	1807
934	25614	1780
935	25641	1753
936	25668	1725
937	25697	1698
938	25721	1670
939	25748	1643
940	25773	1615
941	25798	1588
942	25827	1561
943	25854	1533
944	25880	1506
945	25909	1478
946	25932	1451
947	25957	1423
948	25985	1396
949	26011	1369
950	26038	1341
951	26066	1314
952	26092	1286
953	26119	1259
954	26144	1231
955	26171	1204
956	26197	1177
957	26224	1149
958	26250	1122
959	26276	1094
960	26299	1067
961	26328	1040
962	26350	1012
963	26380	985
964	26407	957
965	26433	930
966	26460	903
967	26490	875
968	26518	848
969	26547	821
970	26568	793
971	26594	766
972	26622	738
973	26645	711
974	26672	683
975	26703	656
976	26731	629
977	26757	601
978	26781	574
979	26805	547
980	26833	519
981	26860	492
982	26885	464
983	26913	437
984	26938	410
985	26966	382
986	26996	355
987	27021	328
988	27050	300
989	27076	273
990	27104	246
991	27132	218
992	27161	191
993	27188	164
994	27216	136
995	27238	109
996	27266	82
997	27293	54
998	27319	27
999	27346	0
